time_step,weekend,rushhour
5338,2023081110,0,1
5339,2023081111,0,1
5340,2023081112,0,1
5341,2023081113,0,1
5342,2023081114,0,1
5343,2023081115,0,1
5344,2023081116,0,1
5345,2023081117,0,1
5346,2023081118,0,1
5347,2023081119,0,1
5348,2023081120,0,1
5349,2023081121,0,0
5350,2023081122,0,0
5351,2023081123,0,0
5352,2023081200,0,0
5353,2023081201,0,0
5354,2023081202,0,0
5355,2023081203,0,0
5356,2023081204,0,0
5357,2023081205,0,0
5358,2023081206,0,1
5359,2023081207,0,1
5360,2023081208,0,1
5361,2023081209,0,1
5362,2023081210,0,1
5363,2023081211,0,1
5364,2023081212,0,1
5365,2023081213,0,1
5366,2023081214,0,1
5367,2023081215,0,1
5368,2023081216,0,1
5369,2023081217,0,1
5370,2023081218,0,1
5371,2023081219,0,1
5372,2023081220,0,1
5373,2023081221,0,0
5374,2023081222,0,0
5375,2023081223,0,0
5376,2023081300,0,0
5377,2023081301,0,0
5378,2023081302,0,0
5379,2023081303,0,0
5380,2023081304,0,0
5381,2023081305,0,0
5382,2023081306,0,1
5383,2023081307,0,1
5384,2023081308,0,1
5385,2023081309,0,1
5386,2023081310,0,1
5387,2023081311,0,1
5388,2023081312,0,1
5389,2023081313,0,1
5390,2023081314,0,1
5391,2023081315,0,1
5392,2023081316,0,1
5393,2023081317,0,1
5394,2023081318,0,1
5395,2023081319,0,1
5396,2023081320,0,1
5397,2023081321,0,0
5398,2023081322,0,0
5399,2023081323,0,0
5400,2023081400,0,0
5401,2023081401,0,0
5402,2023081402,0,0
5403,2023081403,0,0
5404,2023081404,0,0
5405,2023081405,0,0
5406,2023081406,0,1
5407,2023081407,0,1
5408,2023081408,0,1
5409,2023081409,0,1
5410,2023081410,0,1
5411,2023081411,0,1
5412,2023081412,0,1
5413,2023081413,0,1
5414,2023081414,0,1
5415,2023081415,0,1
5416,2023081416,0,1
5417,2023081417,0,1
5418,2023081418,0,1
5419,2023081419,0,1
5420,2023081420,0,1
5421,2023081421,0,0
5422,2023081422,0,0
5423,2023081423,0,0
5424,2023081500,0,0
5425,2023081501,0,0
5426,2023081502,0,0
5427,2023081503,0,0
5428,2023081504,0,0
5429,2023081505,0,0
5430,2023081506,0,1
5431,2023081507,0,1
5432,2023081508,0,1
5433,2023081509,0,1
5434,2023081510,0,1
5435,2023081511,0,1
5436,2023081512,0,1
5437,2023081513,0,1
5438,2023081514,0,1
5439,2023081515,0,1
5440,2023081516,0,1
5441,2023081517,0,1
5442,2023081518,0,1
5443,2023081519,0,1
5444,2023081520,0,1
5445,2023081521,0,0
5446,2023081522,0,0
5447,2023081523,0,0
5448,2023081600,0,0
5449,2023081601,0,0
5450,2023081602,0,0
5451,2023081603,0,0
5452,2023081604,0,0
5453,2023081605,0,0
5454,2023081606,0,1
5455,2023081607,0,1
5456,2023081608,0,1
5457,2023081609,0,1
5458,2023081610,0,1
5459,2023081611,0,1
5460,2023081612,0,1
5461,2023081613,0,1
5462,2023081614,0,1
5463,2023081615,0,1
5464,2023081616,0,1
5465,2023081617,0,1
5466,2023081618,0,1
5467,2023081619,0,1
5468,2023081620,0,1
5469,2023081621,0,0
5470,2023081622,0,0
5471,2023081623,0,0
5472,2023081700,0,0
5473,2023081701,0,0
5474,2023081702,0,0
5475,2023081703,0,0
5476,2023081704,0,0
5477,2023081705,0,0
5478,2023081706,0,1
5479,2023081707,0,1
5480,2023081708,0,1
5481,2023081709,0,1
5482,2023081710,0,1
5483,2023081711,0,1
5484,2023081712,0,1
5485,2023081713,0,1
5486,2023081714,0,1
5487,2023081715,0,1
5488,2023081716,0,1
5489,2023081717,0,1
5490,2023081718,0,1
5491,2023081719,0,1
5492,2023081720,0,1
5493,2023081721,0,0
5494,2023081722,0,0
5495,2023081723,0,0
5496,2023081800,0,0
5497,2023081801,0,0
5498,2023081802,0,0
5499,2023081803,0,0
5500,2023081804,0,0
5501,2023081805,0,0
5502,2023081806,0,1
5503,2023081807,0,1
5504,2023081808,0,1
5505,2023081809,0,1
5506,2023081810,0,1
5507,2023081811,0,1
5508,2023081812,0,1
5509,2023081813,0,1
5510,2023081814,0,1
5511,2023081815,0,1
5512,2023081816,0,1
5513,2023081817,0,1
5514,2023081818,0,1
5515,2023081819,0,1
5516,2023081820,0,1
5517,2023081821,0,0
5518,2023081822,0,0
5519,2023081823,0,0
5520,2023081900,0,0
5521,2023081901,0,0
5522,2023081902,0,0
5523,2023081903,0,0
5524,2023081904,0,0
5525,2023081905,0,0
5526,2023081906,0,1
5527,2023081907,0,1
5528,2023081908,0,1
5529,2023081909,0,1
5530,2023081910,0,1
5531,2023081911,0,1
5532,2023081912,0,1
5533,2023081913,0,1
5534,2023081914,0,1
5535,2023081915,0,1
5536,2023081916,0,1
5537,2023081917,0,1
5538,2023081918,0,1
5539,2023081919,0,1
5540,2023081920,0,1
5541,2023081921,0,0
5542,2023081922,0,0
5543,2023081923,0,0
5544,2023082000,0,0
5545,2023082001,0,0
5546,2023082002,0,0
5547,2023082003,0,0
5548,2023082004,0,0
5549,2023082005,0,0
5550,2023082006,0,1
5551,2023082007,0,1
5552,2023082008,0,1
5553,2023082009,0,1
5554,2023082010,0,1
5555,2023082011,0,1
5556,2023082012,0,1
5557,2023082013,0,1
5558,2023082014,0,1
5559,2023082015,0,1
5560,2023082016,0,1
5561,2023082017,0,1
5562,2023082018,0,1
5563,2023082019,0,1
5564,2023082020,0,1
5565,2023082021,0,0
5566,2023082022,0,0
5567,2023082023,0,0
5568,2023082100,0,0
5569,2023082101,0,0
